FID_GaragePoints_buffered,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,BUFF_DIST,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,952,0356,,No,UNIVERSITY,0356,,Parking Booth At PA35,1997,01,704 Lamar St,College Station,77843,Parking Booth At PA35 |  | 0356,18.692476291035810,19.428307991555151
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,1024,0275,LAAH,No,ACADEMIC,0275,LAAH,Liberal Arts and Arts & Humanities Building,2012,05,399 Spence St,College Station,77843,Liberal Arts and Arts & Humanities Building | LAAH | 0275,217.488224322253274,1636.264336673644038
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,1153,0458,EABC,No,ACADEMIC,0458,EABC,Engineering Activities Bldg C,1954,01,588 Lamar St,College Station,77843,Engineering Activities Bldg C | EABC | 0458,233.206997653427777,966.564544173461627
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,1154,0459,EABB,No,ACADEMIC,0459,EABB,Engineering Activities Bldg B,1949,01,620 Lamar St,College Station,77843,Engineering Activities Bldg B | EABB | 0459,177.583635913374110,710.746859951109172
2,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,150.000000000000000,1155,0460,EABA,No,ACADEMIC,0460,EABA,Engineering Activities Bldg A,1954,01,646 Lamar St,College Station,77843,Engineering Activities Bldg A | EABA | 0460,266.774918766416306,1122.180721467789226
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,638,0547,,No,UNIVERSITY,0547,,Break Room at Central Utility Plant,1980,01,193 Asbury St,College Station,77843,Break Room at Central Utility Plant |  | 0547,36.554605219506108,75.483814384469696
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,643,0524,BLOC,No,ACADEMIC,0524,BLOC,Blocker Building,1981,06,155 Ireland St,College Station,77843,Blocker Building | BLOC | 0524,251.636741167951357,3257.734788220644077
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,651,0388,NSPG,No,GARAGE,0388,NSPG,Northside Parking Garage,1989,05,104 Ireland St,College Station,77843,Northside Parking Garage | NSPG | 0388,419.517477022954438,10097.479709268145598
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,652,0514,MASS,No,ACADEMIC,0514,MASS,Munnerlyn Astronomy & Space Sciences Engineering,1960,02,101 Asbury St,College Station,77843,Munnerlyn Astronomy & Space Sciences Engineering | MASS | 0514,136.310770291640807,997.652190332989903
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,659,0496,UCO,No,OTHER,0496,UCO,Utilities & Energy Services Central Office,1940,02,165 Asbury St,College Station,77843,Utilities & Energy Services Central Office | UCO | 0496,247.993884619570963,2056.827932537110428
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,660,0498,CUP,No,OTHER,0498,CUP,Central Utility Plant,1915,03,222 Ireland St,College Station,77843,Central Utility Plant | CUP | 0498,264.428133187262631,1695.182146586983890
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,669,0424,HOTA,No,ACADEMIC,0424,HOTA,Hotard Hall,1941,05,110 Asbury St,College Station,77843,Hotard Hall | HOTA | 0424,75.054424290235943,301.270172932112985
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,670,9351,,No,UNIVERSITY,9351,,Water Tower,1979,01,191 Asbury St,College Station,77843,Water Tower |  | 9351,85.464067831904629,432.179232587008585
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,674,0652,NEEL,No,HOUSING TAMU,0652,NEEL,Neeley Residence Hall,1980,04,140 Asbury St,College Station,77843,Neeley Residence Hall | NEEL | 0652,127.889764538947404,584.377794670216645
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,676,0653,HOBB,No,HOUSING TAMU,0653,HOBB,Hobby Residence Hall,1980,04,160 Asbury St,College Station,77843,Hobby Residence Hall | HOBB | 0653,91.057944247489175,244.136859866592118
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,914, ,,No,UNIVERSITY,,,,,,,,, |  | ,87.607845635592582,414.496815006405654
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,915, ,,No,UNIVERSITY,,,,,,,,, |  | ,96.728748329398826,376.686016302767257
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,950,0297,MPHY,No,ACADEMIC,0297,MPHY,Mitchell Physics Building,2009,07,578 University Dr,College Station,77843,Mitchell Physics Building | MPHY | 0297,153.513926756677336,1012.313008961819264
3,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,150.000000000000000,951,0296,MIST,No,ACADEMIC,0296,MIST,Mitchell Inst for Fundamental Phys & Astronomy,2009,07,576 University Dr,College Station,77843,Mitchell Inst for Fundamental Phys & Astronomy | MIST | 0296,109.236769688296022,774.085714141113272
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,410, ,,No,UNIVERSITY,,,,,,,,, |  | ,45.076063763057981,117.715432034513896
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,416,1559,WCG,No,GARAGE,1559,WCG,West Campus Parking Garage,2003,08,201 John Kimbrough Bl,College Station,77843,West Campus Parking Garage | WCG | 1559,583.334720826525881,15735.315165775900823
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,491, ,,No,UNIVERSITY,,,,,,,,, |  | ,45.889243796184203,121.061208610038022
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,495, ,,No,UNIVERSITY,,,,,,,,, |  | ,45.889243791011140,121.061576430786175
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,497, ,,No,UNIVERSITY,,,,,,,,, |  | ,45.890538871409568,121.066754764628541
4,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,150.000000000000000,503,1560,SREC,No,SPORTS,1560,SREC,Student Recreation Center,1995,04,797 Olsen Bl,College Station,77843,Student Recreation Center | SREC | 1560,197.379577781033419,884.507945383892093
5,20300,UCG,University Center Garage,1,UCG,Garage Visitor,5,150.000000000000000,838,0384,SCCT,No,ACADEMIC,0384,SCCT,Sam Houston Sanders Corps of Cadets Center,1992,01,475 Short St,College Station,77843,Sam Houston Sanders Corps of Cadets Center | SCCT | 0384,210.005164512090801,2037.098578006158277
5,20300,UCG,University Center Garage,1,UCG,Garage Visitor,5,150.000000000000000,843,0383,JJKB,No,ACADEMIC,0383,JJKB,Koldus Building,1992,03,400 Joe Routt Bl,College Station,77843,Koldus Building | JJKB | 0383,468.684999251356885,5125.049384110729989
5,20300,UCG,University Center Garage,1,UCG,Garage Visitor,5,150.000000000000000,844,0379,UCPG,No,GARAGE,0379,UCPG,University Center Parking Garage,1992,07,660 Throckmorton St,College Station,77843,University Center Parking Garage | UCPG | 0379,407.993224832277463,9714.881778517787097
